experiment_id,date,run_type,method,datasets,splits,repo_commit,child_repo_commit,config,checkpoint,seed,status,duration_hms,log_path,output_dir,patch_set
0001_same_val_r2r_eval_only_same_s0_v1,2026-04-19-12:22,checkpoint_eval,SAME,R2R,R2R:val_train_seen;R2R:val_unseen,6c00d89d5e00156b0c241e3e083ab009aa5fb880,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:04:55,experiments/0001_same_val_r2r_eval_only_same_s0_v1/stdout.log,experiments/0001_same_val_r2r_eval_only_same_s0_v1,patches/same/base/0001-eval-only-exit.patch
0002_same_val_r2r_eval_only_same_s0_v2,2026-04-20-02:19,checkpoint_eval,SAME,R2R,R2R:val_train_seen;R2R:val_unseen,6b0218418ee09d8e4f4760b91f9c19b932c048f3,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:05:16,experiments/0002_same_val_r2r_eval_only_same_s0_v2/stdout.log,experiments/0002_same_val_r2r_eval_only_same_s0_v2,patches/same/base/0001-eval-only-exit.patch
0003_same_val_r2r_eval_only_same_s0_v3,2026-04-20-02:58,checkpoint_eval,SAME,R2R,R2R:val_train_seen;R2R:val_unseen,6b0218418ee09d8e4f4760b91f9c19b932c048f3,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,,experiments/0003_same_val_r2r_eval_only_same_s0_v3/stdout.log,experiments/0003_same_val_r2r_eval_only_same_s0_v3,patches/same/base/0001-eval-only-exit.patch
0004_same_val_r2r_eval_only_same_s0_v4,2026-04-20-03:09,checkpoint_eval,SAME,R2R,R2R:val_train_seen;R2R:val_unseen,6b0218418ee09d8e4f4760b91f9c19b932c048f3,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:04:56,experiment_outputs/0004_same_val_r2r_eval_only_same_s0_v4/stdout.log,experiment_outputs/0004_same_val_r2r_eval_only_same_s0_v4,patches/same/base/0001-eval-only-exit.patch
0005_same_val_r2r_reverie_cvdn_soon_same_s0_v1,2026-04-20-08:40,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_unseen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_unseen,5a7ccf7367e310b3205a7136bcaec0a74efb7dc0,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:22:07,experiment_outputs/0005_same_val_r2r_reverie_cvdn_soon_same_s0_v1/stdout.log,experiment_outputs/0005_same_val_r2r_reverie_cvdn_soon_same_s0_v1,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch
0006_same_val_all_r2r_reverie_cvdn_soon_same_s0_v1,2026-04-21-01:23,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_seen;CVDN:val_unseen;R2R:val_seen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_seen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_seen;SOON:val_unseen,db3552571a15f38ccabd768373570cdb27e49d5d,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_all_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:26:38,experiment_outputs/0006_same_val_all_r2r_reverie_cvdn_soon_same_s0_v1/stdout.log,experiment_outputs/0006_same_val_all_r2r_reverie_cvdn_soon_same_s0_v1,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,2026-04-21-10:00,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_seen;CVDN:val_unseen;R2R:val_seen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_seen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_seen;SOON:val_unseen,db3552571a15f38ccabd768373570cdb27e49d5d,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_all_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:30:32,experiment_outputs/0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2/stdout.log,experiment_outputs/0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch
0008_same_val_r2r_reverie_cvdn_soon_same_s0_v2,2026-04-21-18:41,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_unseen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_unseen,f36ddb31fff96a236e6ed3b7acf3c862a4f03256,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,failed,00:00:02,experiment_outputs/0008_same_val_r2r_reverie_cvdn_soon_same_s0_v2/stdout.log,experiment_outputs/0008_same_val_r2r_reverie_cvdn_soon_same_s0_v2,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch
0009_same_val_r2r_reverie_cvdn_soon_same_s0_v3,2026-04-21-18:45,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_unseen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_unseen,f36ddb31fff96a236e6ed3b7acf3c862a4f03256,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,failed,00:00:01,experiment_outputs/0009_same_val_r2r_reverie_cvdn_soon_same_s0_v3/stdout.log,experiment_outputs/0009_same_val_r2r_reverie_cvdn_soon_same_s0_v3,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch
0010_same_val_r2r_reverie_cvdn_soon_same_s0_v4,2026-04-21-19:05,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_unseen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_unseen,f36ddb31fff96a236e6ed3b7acf3c862a4f03256,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,failed,00:02:17,experiment_outputs/0010_same_val_r2r_reverie_cvdn_soon_same_s0_v4/stdout.log,experiment_outputs/0010_same_val_r2r_reverie_cvdn_soon_same_s0_v4,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,2026-04-21-19:08,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_unseen;R2R:val_unseen;REVERIE:val_unseen;SOON:val_unseen,f36ddb31fff96a236e6ed3b7acf3c862a4f03256,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_unseen_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:17:11,experiment_outputs/0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1/stdout.log,experiment_outputs/0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch
0012_same_val_all_r2r_reverie_cvdn_soon_same_s0_v3,2026-04-22-16:50,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_seen;CVDN:val_unseen;R2R:val_seen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_seen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_seen;SOON:val_unseen,e3657873e741c531c5e09529a2cb20928f174eaa,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_all_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,failed,00:00:02,experiment_outputs/0012_same_val_all_r2r_reverie_cvdn_soon_same_s0_v3/stdout.log,experiment_outputs/0012_same_val_all_r2r_reverie_cvdn_soon_same_s0_v3,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch;patches/same/base/0004-eval-items-sidecars.patch
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,2026-04-22-16:51,checkpoint_eval,SAME,CVDN;R2R;REVERIE;SOON,CVDN:val_seen;CVDN:val_unseen;R2R:val_seen;R2R:val_train_seen;R2R:val_unseen;REVERIE:val_seen;REVERIE:val_train_seen;REVERIE:val_unseen;SOON:val_seen;SOON:val_unseen,b5fa52bb13807b4c5fe9f57e8e2b34875ee4b191,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_all_r2r_reverie_cvdn_soon.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:28:29,experiment_outputs/0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4/stdout.log,experiment_outputs/0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch;patches/same/base/0004-eval-items-sidecars.patch
0014_same_val_r2r_eval_only_same_s0_v5,2026-04-25-00:00,checkpoint_eval,SAME,R2R,R2R:val_train_seen;R2R:val_unseen,5a9071494964affa88e4d77508f0eedc33567fde,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/val_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:05:25,experiment_outputs/0014_same_val_r2r_eval_only_same_s0_v5/stdout.log,experiment_outputs/0014_same_val_r2r_eval_only_same_s0_v5,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch;patches/same/base/0004-eval-items-sidecars.patch;patches/same/base/0005-decision-trace.patch
0015_same_navnuances_r2r_eval_only_same_s0_navnuances_v1,2026-04-28-10:27,checkpoint_eval,SAME,R2R,R2R:DC;R2R:LR;R2R:NU;R2R:RR;R2R:VM,e3dd7549a21b6e1357a8d5513f3e097ab572800a,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/navnuances_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:03:12,experiment_outputs/0015_same_navnuances_r2r_eval_only_same_s0_navnuances_v1/stdout.log,experiment_outputs/0015_same_navnuances_r2r_eval_only_same_s0_navnuances_v1,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch;patches/same/base/0004-eval-items-sidecars.patch;patches/same/base/0005-decision-trace.patch
0016_same_navnuances_r2r_eval_only_same_s0_navnuances_v2,2026-04-28-16:35,checkpoint_eval,SAME,R2R,R2R:DC;R2R:LR;R2R:NU;R2R:RR;R2R:VM;R2R:val_unseen,e3dd7549a21b6e1357a8d5513f3e097ab572800a,b74c57bbb189a0ed8c908e90b53d02dfbe417528,configs/same/navnuances_r2r_eval_only.yaml,../../../data/same/ckpt/SAME.pt,0,success,00:07:12,experiment_outputs/0016_same_navnuances_r2r_eval_only_same_s0_navnuances_v2/stdout.log,experiment_outputs/0016_same_navnuances_r2r_eval_only_same_s0_navnuances_v2,patches/same/base/0001-eval-only-exit.patch;patches/same/base/0002-console-stdout.patch;patches/same/base/0003-cvdn-soon-path-metrics.patch;patches/same/base/0004-eval-items-sidecars.patch;patches/same/base/0005-decision-trace.patch
